unitCode,jobId,targetFile,status,score,notes
"M2","04_main_bedroom_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"M2","05_washroom_bath_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"DK1","02_living_dining_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"DK1","03_kitchen_pantry_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"DK1","04_main_bedroom_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"DK1","05_washroom_bath_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"DK2","02_living_dining_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"DK2","03_kitchen_pantry_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"DK2","04_main_bedroom_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"DK2","05_washroom_bath_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
