"unitCode","unitName","jobId","jobTitle","dimensions","referenceFile","promptFile","targetFile","status"
"J3","Type J3 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","2.83 m x 3.08 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J3","Type J3 Suite","04_main_bedroom_wide_view","Main Bedroom","2.74 m x 3.08 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J3","Type J3 Suite","05_washroom_bath_wide_view","Washroom / Bath","2.44 m x 2.57 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J4","Type J4 Suite","02_living_dining_wide_view","Living / Dining","3.6 m x 5.66 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J4","Type J4 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","3.26 m x 2.96 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J4","Type J4 Suite","04_main_bedroom_wide_view","Main Bedroom","2.93 m x 3.4 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J4","Type J4 Suite","05_washroom_bath_wide_view","Washroom / Bath","3.01 m x 3.13 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
"M1","Type M1 Suite","02_living_dining_wide_view","Living / Dining","4.15 m x 5.57 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
"M1","Type M1 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","3.62 m x 3.22 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"M1","Type M1 Suite","04_main_bedroom_wide_view","Main Bedroom","2.91 m x 3.74 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"M1","Type M1 Suite","05_washroom_bath_wide_view","Washroom / Bath","2.38 m x 3.74 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
"M2","Type M2 Suite","02_living_dining_wide_view","Living / Dining","4.46 m x 3.12 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
"M2","Type M2 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","4.81 m x 2.6 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"M2","Type M2 Suite","04_main_bedroom_wide_view","Main Bedroom","2.66 m x 3.12 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"M2","Type M2 Suite","05_washroom_bath_wide_view","Washroom / Bath","3 m x 2.95 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
"DK1","Type DK1 Dual-Key Suite","02_living_dining_wide_view","Living / Dining","4.07 m x 5.36 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
"DK1","Type DK1 Dual-Key Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","3.56 m x 3.09 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"DK1","Type DK1 Dual-Key Suite","04_main_bedroom_wide_view","Main Bedroom","2.37 m x 3.61 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"DK1","Type DK1 Dual-Key Suite","05_washroom_bath_wide_view","Washroom / Bath","3.05 m x 3.71 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\10_DK1_type_dk1_dual_key_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
"DK2","Type DK2 Dual-Key Suite","02_living_dining_wide_view","Living / Dining","4.82 m x 4.85 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
"DK2","Type DK2 Dual-Key Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","5.34 m x 3.72 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"DK2","Type DK2 Dual-Key Suite","04_main_bedroom_wide_view","Main Bedroom","3.02 m x 3.89 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"DK2","Type DK2 Dual-Key Suite","05_washroom_bath_wide_view","Washroom / Bath","3.1 m x 3.89 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
